year,agency_num,home_rule_ind,agg_ext_base_year,lim_numerator,lim_denominator,lim_rate,prior_eav,curr_new_prop,cty_cook_eav,cty_total_eav,pct_burden,total_levy,total_max_levy,total_prelim_rate,total_reduced_levy,total_final_levy,total_final_rate,reduction_type,reduction_pct,total_non_cap_ext,total_ext,first6,agency_name,major_type,minor_type,muni_num,muni_name,clean_name,Triad,Township,reassess_year,pct_inCook,year.y,cpi,ptell_cook,eq_factor_final,pct_in_Cook,av,first6_w_hr,agency_w_hr,total_final_levy_4log,log_eav,log_levy,log_av
2006,020090003,0,2005,1197990,2022373714,0.06,1997584086,97815261,2120188975,2120188975,1,1646524,1646524,0.078,1267873,1267873,0.06,CLERK,0.76923,NA,1272113.39,020090,ROAD AND BRIDGE HANOVER,MUNICIPALITY/TOWNSHIP,INFRA,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,783051032.2795095,020090_0,020090003_0,1267874,21.474771060808617,14.0528520399567,20.478708427156302
2006,020090004,0,2005,4566608,2022373714,0.226,1997584086,97815261,2120188975,2120188975,1,782060,782060,0.037,NA,782060,0.037,NA,NA,NA,784469.92,020090,COMMUNITY MENTAL HEALTH FACILITIES & SERVICE DISTRICT,MUNICIPALITY/TOWNSHIP,HEALTH,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,783051032.2795095,020090_0,020090004_0,782061,21.474771060808617,13.569688021600298,20.478708427156302
2006,020100000,0,2005,591496,761832609,0.078,769914664,20991061,782823670,782823670,1,1470410,1470410,0.188,NA,1470410,0.188,NA,NA,890070.51,1471708.5,020100,TOWN LEMONT,MUNICIPALITY/TOWNSHIP,TOWNSHIP,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,289120870.8819619,020100_0,020100000_0,1470411,20.478418030637634,14.20105251151314,19.482355396985316
2006,020100002,0,2005,591496,761832609,0.078,769914664,20991061,782823670,782823670,1,9436,9436,0.002,NA,9436,0.002,NA,NA,NA,15656.47,020100,GENERAL ASSISTANCE LEMONT,MUNICIPALITY/TOWNSHIP,GEN ASST,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,289120870.8819619,020100_0,020100002_0,9437,20.478418030637634,9.152393412021333,19.482355396985316
2006,020100003,0,2005,708522,761832609,0.093,769914664,20991061,782823670,782823670,1,717001,717001,0.092,NA,717001,0.092,NA,NA,NA,720197.78,020100,ROAD AND BRIDGE LEMONT,MUNICIPALITY/TOWNSHIP,INFRA,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,289120870.8819619,020100_0,020100003_0,717002,20.478418030637634,13.482833908978145,19.482355396985316
2006,020110000,0,2005,2350250,NA,0.082,NA,25490064,2906071428.571429,2906071428.571429,1,2237675,2237675,0.077,NA,2237675,0.077,NA,NA,NA,2249076.76,020110,TOWN LEYDEN,MUNICIPALITY/TOWNSHIP,TOWNSHIP,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,1073301606.0612458,020110_0,020110000_0,2237676,21.790067981479773,14.62094838525555,20.794005347827458
2006,020110002,0,2005,2350250,NA,0.082,NA,25490064,2356125000,2356125000,1,94245,94245,0.004,NA,94245,0.004,NA,NA,NA,116835.16,020110,GENERAL ASSISTANCE LEYDEN,MUNICIPALITY/TOWNSHIP,GEN ASST,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,870189466.6863644,020110_0,020110002_0,94246,21.580284157355496,11.453663664091339,20.584221523703178
2006,020110003,0,2005,3224062,NA,0.112,NA,25490064,2913415315.3153152,2913415315.3153152,1,3233891,3233891,0.111,NA,3233891,0.111,NA,NA,NA,3242175.59,020110,ROAD AND BRIDGE LEYDEN,MUNICIPALITY/TOWNSHIP,INFRA,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,1076013929.4265459,020110_0,020110003_0,3233892,21.792591877818232,14.989196923385306,20.796529244165914
2006,020110007,0,NA,0,NA,0,135369203,708948,137954965,137954965,1,0,0,0,NA,0,0,NA,NA,NA,0,020110,LEYDEN TOWNSHIP SPECIAL REFUSE COLLECTION DISTRICT,MISCELLANEOUS,MISC,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,50951013.8129709,020110_0,020110007_0,1,18.742437849281092,0,17.746375215628778
2006,020120000,0,2005,4414925,NA,0.116,NA,68594532,3833657575.757576,3833657575.757576,1,1276574,1276574,0.033,1265107,1265107,0.033,CLERK,0.991452,NA,1280630.24,020120,TOWN LYONS,MUNICIPALITY/TOWNSHIP,TOWNSHIP,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,1415887714.4916444,020120_0,020120000_0,1265108,22.067085165050635,14.050668051993549,21.07102253139832
2006,020120002,0,2005,4414925,NA,0.116,NA,68594532,2716466666.6666665,2716466666.6666665,1,82358,82358,0.003,81494,81494,0.003,CLERK,0.991452,NA,116420.93,020120,GENERAL ASSISTANCE LYONS,MUNICIPALITY/TOWNSHIP,GEN ASST,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,1003274732.8507411,020120_0,020120002_0,81495,21.722597853189114,11.308296947653734,20.726535219536796
2006,020120003,0,2005,1284342,NA,0.034,NA,68594532,3875747058.8235292,3875747058.8235292,1,1317754,1317754,0.034,NA,1317754,0.034,NA,NA,NA,1319437.22,020120,ROAD AND BRIDGE LYONS,MUNICIPALITY/TOWNSHIP,INFRA,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,1431432655.7924101,020120_0,020120003_0,1317755,22.078004270544053,14.091440089056679,21.081941636891738
2006,020120004,0,2005,4414925,NA,0.116,NA,68594532,3880697530.8641973,3880697530.8641973,1,3170847,3170847,0.082,3143365,3143365,0.081,CLERK,0.991452,NA,3143365.14,020120,LYONS MENTAL HEALTH,MUNICIPALITY/TOWNSHIP,HEALTH,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,1433261017.4561226,020120_0,020120004_0,3143366,22.079280750419752,14.960804758252323,21.083218116767437
2006,020120006,0,2005,94690,138593562,0.069,140887049,19014847,119578715,119578715,1,97153,97153,0.082,81672,81672,0.069,CLERK,0.841463,NA,82509.31,020120,LYONS TOWNSHIP SPECIAL POLICE DISTRICT,MISCELLANEOUS,POLICE,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,44164099.20224553,020120_0,020120006_0,81673,18.599485415415156,11.310478748872237,17.60342278176284
