first6,agency_name,hr_ind,first6_w_hr_ind,grouped_w_hr_ind,grouped_label,agency_num
80180,METRO WATER RECLAMATION DISTRICT OF GREATER CHICAGO,0,80180_0,METRO WATER RECLAMATION DISTRICT OF GREATER CHICAGO,METRO WATER RECLAMATION DISTRICT OF GREATER CHICAGO,80180000
80190,MISSION BROOK SANITARY DISTRICT,0,80190_0,MISSION BROOK SANITARY DISTRICT,MISSION BROOK SANITARY DISTRICT,80190000
80200,NORTHFIELD WOODS SANITARY DISTRICT,0,80200_0,NORTHFIELD WOODS SANITARY DISTRICT,NORTHFIELD WOODS SANITARY DISTRICT,80200000
80220,OAK MEADOW SANITARY DISTRICT,0,80220_0,OAK MEADOW SANITARY DISTRICT,OAK MEADOW SANITARY DISTRICT,80220000
80230,OLD TOWN SANITARY DISTRICT,0,80230_0,OLD TOWN SANITARY DISTRICT,OLD TOWN SANITARY DISTRICT,80230000
80260,PLUM GROVE ESTATES SANITARY DISTRICT,0,80260_0,PLUM GROVE ESTATES SANITARY DISTRICT,PLUM GROVE ESTATES SANITARY DISTRICT,80260000
80270,PLUM GROVE WOODLANDS SANITARY DISTRICT,0,80270_0,PLUM GROVE WOODLANDS SANITARY DISTRICT,PLUM GROVE WOODLANDS SANITARY DISTRICT,80270000
80320,SOUTH LYONS TOWNSHIP SANITARY DISTRICT,0,80320_0,SOUTH LYONS TOWNSHIP SANITARY DISTRICT,SOUTH LYONS TOWNSHIP SANITARY DISTRICT,80320000
80330,SOUTH PALOS TOWNSHIP SANITARY DISTRICT,0,80330_0,SOUTH PALOS TOWNSHIP SANITARY DISTRICT,SOUTH PALOS TOWNSHIP SANITARY DISTRICT,80330000
80340,SOUTH STICKNEY SANITARY DISTRICT,0,80340_0,SOUTH STICKNEY SANITARY DISTRICT,SOUTH STICKNEY SANITARY DISTRICT,80340000
80350,THORN CREEK BASIN SANITARY DISTRICT,0,80350_0,THORN CREEK BASIN SANITARY DISTRICT,THORN CREEK BASIN SANITARY DISTRICT,80350000
80390,WOODLEY ROAD SANITARY DISTRICT,0,80390_0,WOODLEY ROAD SANITARY DISTRICT,WOODLEY ROAD SANITARY DISTRICT,80390000
90010,DES PLAINES VALLEY MOSQUITO ABATEMENT DISTRICT,0,90010_0,DES PLAINES VALLEY MOSQUITO ABATEMENT DISTRICT,DES PLAINES VALLEY MOSQUITO ABATEMENT DISTRICT,90010000
90020,NORTH SHORE MOSQUITO ABATEMENT DISTRICT,0,90020_0,NORTH SHORE MOSQUITO ABATEMENT DISTRICT,NORTH SHORE MOSQUITO ABATEMENT DISTRICT,90020000
90030,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0,90030_0,NORTHWEST MOSQUITO ABATEMENT DISTRICT,NORTHWEST MOSQUITO ABATEMENT DISTRICT,90030000
90040,SOUTH COOK COUNTY MOSQUITO ABATEMENT DISTRICT,0,90040_0,SOUTH COOK COUNTY MOSQUITO ABATEMENT DISTRICT,SOUTH COOK COUNTY MOSQUITO ABATEMENT DISTRICT,90040000
100010,FOREST RIVER STREET LIGHTING DISTRICT,0,100010_0,FOREST RIVER STREET LIGHTING DISTRICT,drop,100010000
100020,NORWOOD PARK STREET LIGHTING,0,100020_0,NORWOOD PARK STREET LIGHTING,drop,100020000
110020,NORTHWEST HOME EQUITY ASSURANCE,0,110020_0,NORTHWEST HOME EQUITY ASSURANCE,drop,110020000
110030,SOUTHWEST HOME EQUITY ASSURANCE,0,110030_0,SOUTHWEST HOME EQUITY ASSURANCE,drop,110030000
110040,SOUTHWEST HOME EQUITY ASSURANCE 1,0,110040_0,SOUTHWEST HOME EQUITY ASSURANCE 1,drop,110040000
130030,UNION DRAINAGE DISTRICT 1,0,130030_0,UNION DRAINAGE DISTRICT 1,drop,130030000
130040,ADDISON CREEK RIVER CONSERVANCY DISTRICT,0,130040_0,ADDISON CREEK RIVER CONSERVANCY DISTRICT,ADDISON CREEK RIVER CONSERVANCY DISTRICT,130040000
140020,BRONZEVILLE EXPANDED MENTAL HEALTH SERVICE DISTRICT,0,140020_0,BRONZEVILLE EXPANDED MENTAL HEALTH SERVICE DISTRICT,drop,140020000
140030,LOGAN AVONDALE HERMOSA EXPANDED MENTAL HEALTH SERVICE DISTRICTERV,0,140030_0,LOGAN AVONDALE HERMOSA EXPANDED MENTAL HEALTH SERVICE DISTRICTERV,drop,140030000
140050,NORTH RIVER EXPANDED MENTAL HEALTH SERVICE DISTRICT,0,140050_0,NORTH RIVER EXPANDED MENTAL HEALTH SERVICE DISTRICT,drop,140050000
140100,WEST SIDE EXPANDED MENTAL HEALTH SERVICE DISTRICT,1,140100_1,WEST SIDE EXPANDED MENTAL HEALTH SERVICE DISTRICT,drop,140100000
990010,DUPAGE WATER COMMISSION,0,990010_0,DUPAGE WATER COMMISSION,drop,990010000
990020,SUBURBAN T B SANITARIUM,0,990020_0,SUBURBAN T B SANITARIUM,drop,990020000
