first6,agency_name,hr_ind,first6_w_hr_ind,grouped_w_hr_ind,grouped_label,agency_num
20260,GENERAL ASSISTANCE SCHAUMBURG,0,20260_0,Schaumburg-Town-Connected_0,Schaumburg-Town,20260002
20260,ROAD AND BRIDGE SCHAUMBURG,0,20260_0,Schaumburg-Town_0,Schaumburg-Town,20260003
20260,SCHAUMBURG TOWNSHIP SPECIAL POLICE DISTRICT,0,20260_0,Schaumburg-Town-Connected_0,Schaumburg-Town,20260006
20260,TOWN SCHAUMBURG,0,20260_0,Schaumburg-Town-Connected_0,Schaumburg-Town,20260000
20270,GENERAL ASSISTANCE STICKNEY,0,20270_0,Stickney-Town-Connected_0,Stickney-Town-Connected,20270002
20270,ROAD AND BRIDGE STICKNEY,0,20270_0,Stickney-Town_0,Stickney-Town-Connected,20270003
20270,STICKNEY PUBLIC HEALTH DISTRICT,0,20270_0,Stickney-Town-Connected_0,Stickney-Town-Connected,20270004
20270,TOWN STICKNEY,0,20270_0,Stickney-Town-Connected_0,Stickney-Town-Connected,20270000
20280,GENERAL ASSISTANCE THORNTON,0,20280_0,Thornton - Town_0,Thornton - Town,20280002
20280,ROAD AND BRIDGE THORNTON,0,20280_0,Thornton - Town_0,Thornton - Town,20280003
20280,TOWN THORNTON,0,20280_0,Thornton - Town_0,Thornton - Town,20280000
20290,GENERAL ASSISTANCE WHEELING,0,20290_0,Wheeling-Town_0,Wheeling-Town,20290002
20290,ROAD AND BRIDGE WHEELING,0,20290_0,Wheeling-Town_0,Wheeling-Town,20290003
20290,TOWN WHEELING,0,20290_0,Wheeling-Town_0,Wheeling-Town,20290000
20300,GENERAL ASSISTANCE WORTH,0,20300_0,Worth-Town-Connected_0,Worth-Town,20300002
20300,ROAD AND BRIDGE WORTH,0,20300_0,Worth-Town_0,Worth-Town,20300003
20300,TOWN OF WORTH,0,20300_0,Worth-Town-Connected_0,Worth-Town,20300000
30010,VILLAGE OF ALSIP,1,30010_1,Alsip_1,Alsip,30010000
30020,VILLAGE OF ARLINGTON HEIGHTS,1,30020_1,Arlington Heights_1,Arlington Heights,30020000
30020,VILLAGE OF ARLINGTON HEIGHTS LIBRARY FUND,1,30020_1,Arlington Heights_1,Arlington Heights,30020001
30030,VILLAGE OF BARRINGTON,0,30030_0,Barrington_0,Barrington,30030000
30040,VILLAGE OF BARRINGTON HILLS,1,30040_1,Barrington Hills_1,Barrington Hills,30040000
30050,VILLAGE OF BARTLETT,1,30050_1,Bartlett_1,Bartlett,30050000
30060,VILLAGE OF BEDFORD PARK,1,30060_1,Bedford Park_1,Bedford Park,30060000
30070,VILLAGE OF BELLWOOD,1,30070_1,Bellwood_1,Bellwood,30070000
30070,VILLAGE OF BELLWOOD LIBRARY FUND,1,30070_1,Bellwood_1,Bellwood,30070001
30080,VILLAGE OF BENSENVILLE,0,30080_0,Bensenville_0,Bensenville,30080000
30090,VILLAGE OF BERKELEY,1,30090_1,Berkeley_1,Berkeley,30090000
30090,VILLAGE OF BERKELEY LIBRARY FUND,1,30090_1,Berkeley_1,Berkeley,30090001
30100,CITY OF BERWYN,1,30100_1,Berwyn_1,Berwyn,30100000
30100,CITY OF BERWYN LIBRARY FUND,1,30100_1,Berwyn_1,Berwyn,30100001
30110,CITY OF BLUE ISLAND,0,30110_0,Blue Island_0,Blue Island,30110000
30110,CITY OF BLUE ISLAND LIBRARY FUND,0,30110_0,Blue Island_0,Blue Island,30110001
30120,VILLAGE OF BRIDGEVIEW,1,30120_1,Bridgeview_1,Bridgeview,30120000
30120,VILLAGE OF BRIDGEVIEW LIBRARY FUND,1,30120_1,Bridgeview_1,Bridgeview,30120001
30130,VILLAGE OF BROADVIEW,0,30130_0,Broadview_0,Broadview,30130000
30140,VILLAGE OF BROOKFIELD,0,30140_0,Brookfield_0,Brookfield,30140000
30140,VILLAGE OF BROOKFIELD LIBRARY FUND,0,30140_0,Brookfield_0,Brookfield,30140001
30150,VILLAGE OF BUFFALO GROVE,1,30150_1,Buffalo Grove_1,Buffalo Grove,30150000
30160,CITY OF BURBANK,1,30160_1,Burbank_1,Burbank,30160000
30170,VILLAGE OF BURNHAM,1,30170_1,Burnham_1,Burnham,30170000
30180,VILLAGE OF BURR RIDGE,0,30180_0,Burr Ridge_0,Burr Ridge,30180000
30190,CITY OF CALUMET CITY,1,30190_1,Calumet City_1,Calumet City,30190000
30190,CITY OF CALUMET CITY LIBRARY FUND,1,30190_1,Calumet City_1,Calumet City,30190001
30200,VILLAGE OF CALUMET PARK,1,30200_1,Calumet Park_1,Calumet Park,30200000
30200,VILLAGE OF CALUMET PARK LIBRARY FUND,1,30200_1,Calumet Park_1,Calumet Park,30200001
30210,CITY OF CHICAGO,1,30210_1,Chicago_1,Chicago,30210000
30210,CITY OF CHICAGO LIBRARY FUND,1,30210_1,Chicago_1,Chicago,30210001
30210,CITY OF CHICAGO SCHOOL BLDG & IMP FUND,1,30210_1,Chicago_1,Chicago,30210002
30220,CITY OF CHICAGO HEIGHTS,1,30220_1,Chicago Heights_1,Chicago Heights,30220000
