year,uniqueid,grouped_label,home_rule_ind,lim_rate,agency_name,agency_num,total_final_levy,cty_total_eav,av,Triad,agency_count,reassess_year,log_eav,log_levy,log_av,bundled,panel_id,first2_dig,town,count
2006,Thornton_1_1,Thornton,1,NA,VILLAGE OF THORNTON,031260000,1491133,81668849,30162819.101787563,South,2,0,18.21818320193283,14.215046791646559,17.222120568280516,1,NA,03,Muni,17
2006,Wheeling_1_0,Wheeling,1,NA,VILLAGE OF WHEELING,031310000,8997472,1167337025,429753001.5511893,North,1,0,20.877990944615544,16.01245420695493,19.87872118661515,0,NA,03,Muni,17
2006,Wilmette_1_0,Wilmette,1,NA,VILLAGE OF WILMETTE,031330000,11801601,1622256711,599149324.4940169,North,1,0,21.207084048303965,16.283745758198574,20.21102141465165,0,NA,03,Muni,17
2006,Winnetka_1_0,Winnetka,1,NA,VILLAGE OF WINNETKA,031340000,11435182,1203034207,444317553.1836313,North,1,0,20.90811270828116,16.252205301359584,19.912050074628844,0,NA,03,Muni,17
2007,Alsip_1_0,Alsip,1,NA,VILLAGE OF ALSIP,030010000,6200202,710758298,249923801.11818278,South,1,0,20.381842983418437,15.640092430129744,19.336666633839656,0,NA,03,Muni,17
2007,Arlington Heights_1_1,Arlington Heights,1,NA,VILLAGE OF ARLINGTON HEIGHTS,030020000,38363140,3383209567.496723,1189637317.5908868,North,2,1,21.942090672061543,17.46260766072959,20.89691432248276,1,NA,03,Muni,17
2007,Bedford Park_1_0,Bedford Park,1,NA,VILLAGE OF BEDFORD PARK,030060000,9764219,473957033,166657418.6856078,South,1,0,19.976627227871276,16.094235139575694,18.931450878292495,0,NA,03,Muni,17
2007,Bellwood_1_1,Bellwood,1,NA,VILLAGE OF BELLWOOD,030070000,14827523,307672724,108186899.68001688,South,2,0,19.54454719157921,16.511995673865624,18.499370842000424,1,NA,03,Muni,17
2007,Berkeley_1_1,Berkeley,1,NA,VILLAGE OF BERKELEY,030090000,3484946,122021162,42906277.295263544,South,2,0,18.619705046671648,15.063963107078234,17.574528697092866,1,NA,03,Muni,17
2007,Berwyn_1_1,Berwyn,1,NA,CITY OF BERWYN,030100000,20425154,836497503,294137453.1453286,South,2,0,20.544734093329915,16.8322777384616,19.49955774375113,1,NA,03,Muni,17
2007,Bridgeview_1_1,Bridgeview,1,NA,VILLAGE OF BRIDGEVIEW,030120000,5169225,530606041,186576898.27349764,South,2,0,20.089530384827377,15.45823333195979,19.044354035248592,1,NA,03,Muni,17
2007,Burbank_1_0,Burbank,1,NA,CITY OF BURBANK,030160000,4435969,550592628,193604777.94577867,South,1,0,20.126505761553,15.30525663915025,19.081329411974213,0,NA,03,Muni,17
2007,Burnham_1_0,Burnham,1,NA,VILLAGE OF BURNHAM,030170000,1570593,60756186,21363685.783607017,South,1,0,17.92237946216139,14.266963813017526,16.87720311258261,0,NA,03,Muni,17
2007,Calumet City_1_1,Calumet City,1,NA,CITY OF CALUMET CITY,030190000,19946324,590703484,207708950.38503462,South,2,0,20.196824730347085,16.808555423670438,19.151648380768304,1,NA,03,Muni,17
2007,Calumet Park_1_1,Calumet Park,1,NA,VILLAGE OF CALUMET PARK,030200000,3088753,84296536,29641174.443545833,South,2,0,18.24985133078736,14.943278007551179,17.204674981208576,1,NA,03,Muni,17
2007,Chicago Heights_1_1,Chicago Heights,1,NA,CITY OF CHICAGO HEIGHTS,030220000,15025402,447210578,157252567.95245963,South,2,0,19.918540133371568,16.52525279343528,18.873363783792787,1,NA,03,Muni,17
2007,Chicago Ridge_1_1,Chicago Ridge,1,NA,VILLAGE OF CHICAGO RIDGE,030230000,5321118,377506569,132742560.91986357,South,2,0,19.749098527826455,15.48719398961527,18.703922178247673,1,NA,03,Muni,17
2007,Cicero_1_1,Cicero,1,NA,TOWN CICERO,020060000,30981399,801165362,281713619.32557404,South,4,0,20.501577928170356,17.248897550099958,19.456401578591574,1,NA,02,Town,17
2007,Country Club Hills_1_0,Country Club Hills,1,NA,CITY OF COUNTRY CLUB HILLS,030240000,15083619,279677928,98343095.04553606,South,1,0,19.44914924193718,16.529119878489276,18.4039728923584,0,NA,03,Muni,17
2007,Des Plaines_1_1,Des Plaines,1,NA,CITY OF DES PLAINES,030290000,27515694,2465613647.0588236,866983243.8056273,North,2,1,21.62570655749973,17.130267090763763,20.580530207920948,1,NA,03,Muni,17
2007,Dolton_1_0,Dolton,1,NA,VILLAGE OF DOLTON,030310000,8072303,276810487,97334817.32831675,South,1,0,19.438843667550806,15.903949377476591,18.39366731797202,0,NA,03,Muni,17
2007,East Hazelcrest_1_0,East Hazelcrest,1,NA,VILLAGE OF EAST HAZELCREST,030330000,407762,29786845,10473942.473364042,South,1,0,17.20957741105799,12.918438949847882,16.164401061479204,0,NA,03,Muni,17
2007,Elk Grove Village_1_0,Elk Grove Village,1,NA,VILLAGE OF ELK GROVE VILLAGE,030350000,11860203,2415519755.6008143,849368738.563527,North,1,1,21.60518032060499,16.288699067744876,20.560003971026205,0,NA,03,Muni,17
2007,Elmwood Park_1_1,Elmwood Park,1,NA,VILLAGE OF ELMWOOD PARK,030370000,10480558,551170944,193808131.087591,North,2,1,20.127555562195912,16.165032479714554,19.08237921261713,1,NA,03,Muni,17
2007,Evergreen Park_1_1,Evergreen Park,1,NA,VILLAGE OF EVERGREEN PARK,030390000,6388856,428785247,150773672.42167446,South,2,0,19.876466761811827,15.670065780592022,18.83129041223304,1,NA,03,Muni,17
2007,Forestview_1_0,Forestview,1,NA,VILLAGE OF FORESTVIEW,030430000,1013551,66130199,23253348.922254648,South,1,0,18.007136068870572,13.828970564279091,16.96195971929179,0,NA,03,Muni,17
2007,Glenview_1_1,Glenview,1,NA,VILLAGE OF GLENVIEW,030470000,13919458,2688199728.9972897,945251144.2024297,North,2,1,21.71213756078936,16.448798275330883,20.666961211210573,1,NA,03,Muni,17
2007,Glenwood_1_0,Glenwood,1,NA,VILLAGE OF GLENWOOD,030480000,3175257,131770298,46334364.07749921,South,1,0,18.696570798035157,14.970899131914958,17.651394448456372,0,NA,03,Muni,17
2007,Golf_1_0,Golf,1,NA,VILLAGE OF GOLF,030490000,633442,38159086,13417871.93642533,North,1,1,17.45727445247554,13.358923719697943,16.412098102896756,0,NA,03,Muni,17
2007,Harvey_1_0,Harvey,1,NA,CITY OF HARVEY,030510000,11408320,282213345,99234623.22866486,South,1,0,19.458173885421516,16.24985347173369,18.412997535842734,0,NA,03,Muni,17
2007,Harwood Heights_1_0,Harwood Heights,1,NA,VILLAGE OF HARWOOD HEIGHTS,030520000,1735913,290410216,102116887.37297373,North,1,1,19.486805019359508,14.36704405773925,18.441628669780723,0,NA,03,Muni,17
2007,Hazelcrest_1_0,Hazelcrest,1,NA,VILLAGE OF HAZELCREST,030530000,4260198,194599212,68426882.80178627,South,1,0,19.086452678376016,15.264826196038683,18.041276328797235,0,NA,03,Muni,17
2007,Hillside_1_1,Hillside,1,NA,VILLAGE OF HILLSIDE,030550000,8935891,277404317,97543625.6549105,South,2,0,19.44098662808873,16.005586421805393,18.395810278509945,1,NA,03,Muni,17
2007,Hodgkins_1_0,Hodgkins,1,NA,VILLAGE OF HODGKINS,030570000,2580937,222963173,78400496.85291325,South,1,0,19.222517172288946,14.7636630692591,18.177340822710164,0,NA,03,Muni,17
2007,Hoffman Estates_1_0,Hoffman Estates,1,NA,VILLAGE OF HOFFMAN ESTATES,030580000,14540987,1773557976,623022333.7670101,North,1,1,21.29625352180434,16.49248190947143,20.25009292485237,0,NA,03,Muni,17
2007,Inverness_1_0,Inverness,1,NA,VILLAGE OF INVERNESS,030630000,1507797,546467233,192154166.10991946,North,1,1,20.118984905869322,14.226160203103959,19.073808556290537,0,NA,03,Muni,17
2007,Lansing_1_1,Lansing,1,NA,VILLAGE OF LANSING,030680000,6497649,472231319,166050606.20978233,South,2,0,19.97297950612568,15.686950977131733,18.927803156546897,1,NA,03,Muni,17
2007,Lincolnwood_1_0,Lincolnwood,1,NA,VILLAGE OF LINCOLNWOOD,030700000,4810649,822179357,289102766.27166915,North,1,1,20.527469125082945,15.386342560215011,19.482292775504163,0,NA,03,Muni,17
2007,Markham_1_1,Markham,1,NA,CITY OF MARKHAM,030730000,6028962,152624075,53667173.599634305,South,2,0,18.843488429770716,15.612085414582214,17.798312080191934,1,NA,03,Muni,17
2007,Maywood_1_0,Maywood,1,NA,VILLAGE OF MAYWOOD,030750000,13552691,228047624,80188341.36221386,South,1,0,19.245065042299895,16.422095683358034,18.19988869272111,0,NA,03,Muni,17
2007,McCook_1_0,McCook,1,NA,VILLAGE OF MC COOK,030760000,2129001,145503494,51163365.097225636,South,1,0,18.7957106580332,14.571163413579592,17.750534308454416,0,NA,03,Muni,17
2007,Morton Grove_1_1,Morton Grove,1,NA,VILLAGE OF MORTON GROVE,030810000,12218450,969026190,340738489.3983614,North,2,1,20.69180219735357,16.31845766241883,19.64662584777479,1,NA,03,Muni,17
2007,Mount Prospect_1_1,Mount Prospect,1,NA,VILLAGE OF MT PROSPECT,030820000,22208789,1870325316,657662124.5472766,North,2,1,21.349378218458018,16.915998669395325,20.304201868879233,1,NA,03,Muni,17
2007,Niles_1_0,Niles,1,NA,VILLAGE OF NILES,030830000,4475832,1578095090,554905267.414466,North,1,1,21.179484317377103,15.314202814197488,20.13430796779832,0,NA,03,Muni,17
2007,North Lake_1_0,North Lake,1,NA,CITY OF NORTH LAKE,030850000,3209314,380209483,133692986.04029678,North,1,1,19.75623292984327,14.98156776510246,18.711056580264486,0,NA,03,Muni,17
2007,Northbrook_1_1,Northbrook,1,NA,VILLAGE OF NORTHBROOK,030870000,16009997,2876668347.338936,1011522327.5568535,North,2,1,21.779898637616434,16.588723897589993,20.734722288037652,1,NA,03,Muni,17
2007,Oak Forest_1_0,Oak Forest,1,NA,CITY OF OAK FOREST,030900000,6476510,518841314,182440069.62270123,South,1,0,20.0671086410062,15.683692342995107,19.02193229142742,0,NA,03,Muni,17
2007,Oak Lawn_1_1,Oak Lawn,1,NA,VILLAGE OF OAK LAWN,030910000,17830502,1279727634,449990377.29877985,South,2,0,20.969913106298296,16.696421144238272,19.924736756719515,1,NA,03,Muni,17
2007,Oak Park_1_1,Oak Park,1,NA,VILLAGE OF OAK PARK,030920000,25221591,1537939260,540785280.7763985,South,2,0,21.153709214402145,17.043210971364573,20.108532864823363,1,NA,03,Muni,17
2007,Orland Park_1_1,Orland Park,1,NA,VILLAGE OF ORLAND PARK,030950000,15875819,2358503160.27088,829320004.3148072,South,2,0,21.581293000637185,16.580307691963466,20.536116651058403,1,NA,03,Muni,17
2007,Palatine_1_0,Palatine,1,NA,VILLAGE OF PALATINE,030960000,20692510,2178158842.105263,765905567.0400728,North,1,1,21.50174578905743,16.845282357008454,20.45656943947865,0,NA,03,Muni,17
2007,Park Ridge_1_1,Park Ridge,1,NA,CITY OF PARK RIDGE,031010000,14683001,1852758740,651485192.8689475,North,2,1,21.33994157609672,16.502200988051044,20.294765226517935,1,NA,03,Muni,17
2007,Phoenix_1_0,Phoenix,1,NA,VILLAGE OF PHOENIX,031020000,350980,7632276,2683735.7150392067,South,1,0,15.847896654978388,12.768484520767597,14.802720305399605,0,NA,03,Muni,17
2007,Posen_1_0,Posen,1,NA,VILLAGE OF POSEN,031030000,903246,68593128,24119388.16414079,South,1,0,18.043702912751158,13.713750220547272,16.998526563172373,0,NA,03,Muni,17
2007,Riverdale_1_0,Riverdale,1,NA,VILLAGE OF RIVERDALE,031080000,4161105,138476856,48692589.7535075,South,1,0,18.746213764934982,15.241291221965371,17.701037415356197,0,NA,03,Muni,17
2007,Robbins_1_0,Robbins,1,NA,VILLAGE OF ROBBINS,031100000,975866,46713588,16425889.799219381,South,1,0,17.659545643914857,13.79108056088743,16.614369294336075,0,NA,03,Muni,17
2007,Rolling Meadows_1_1,Rolling Meadows,1,NA,CITY OF ROLLING MEADOWS,031110000,11119816,1085113672,381558307.95738244,North,2,1,20.80495058527145,16.22423929988722,19.759774235692667,1,NA,03,Muni,17
2007,Rosemont_1_0,Rosemont,1,NA,VILLAGE OF ROSEMONT,031130000,5471196,375004076,131862609.79640634,North,1,1,19.742447453208946,15.515007797664717,18.697271103630165,0,NA,03,Muni,17
2007,Schiller Park_1_1,Schiller Park,1,NA,VILLAGE OF SCHILLER PARK,031160000,6711721,464365078,163284601.427617,North,2,1,19.95618160685541,15.71936595892316,18.911005257276628,1,NA,03,Muni,17
