year,agency_num,agency_name,triad_name,reassess_year
2006,030180101,VILLAGE OF BURR RIDGE SPECIAL SERVICE AREA 4,South,0
2006,030180102,VILLAGE OF BURR RIDGE SPECIAL SERVICE AREA 5,South,0
2006,030180103,VILLAGE OF BURR RIDGE SPECIAL SERVICE AREA 6,South,0
2006,030180104,VILLAGE OF BURR RIDGE SPECIAL SERVICE AREA 7,South,0
2006,030180105,VILLAGE OF BURR RIDGE SPECIAL SERVICE AREA 8,South,0
2006,030180106,VILLAGE OF BURR RIDGE SPECIAL SERVICE AREA 9,South,0
2006,030180107,VILLAGE OF BURR RIDGE SPECIAL SERVICE AREA 10,South,0
2006,030180108,VILLAGE OF BURR RIDGE SPECIAL SERVICE AREA 11,South,0
2006,030180109,VILLAGE OF BURR RIDGE SPECIAL SERVICE AREA 16,South,0
2006,030190000,CITY OF CALUMET CITY,South,0
2006,030190001,CITY OF CALUMET CITY LIBRARY FUND,South,0
2006,030190100,CITY OF CALUMET CITY SPECIAL SERVICE AREA 1998 - 1,South,0
2006,030190101,CITY OF CALUMET CITY SPECIAL SERVICE AREA 1998 - 2,South,0
2006,030200000,VILLAGE OF CALUMET PARK,South,0
2006,030200001,VILLAGE OF CALUMET PARK LIBRARY FUND,South,0
2006,030210000,CITY OF CHICAGO,City,1
2006,030210001,CITY OF CHICAGO LIBRARY FUND,City,1
2006,030210100,CITY OF CHICAGO SPECIAL SERVICE AREA 1,City,1
2006,030210101,CITY OF CHICAGO SPECIAL SERVICE AREA 2,City,1
2006,030210102,CITY OF CHICAGO SPECIAL SERVICE AREA 3,City,1
2006,030210103,CITY OF CHICAGO SPECIAL SERVICE AREA 4,City,1
2006,030210104,CITY OF CHICAGO SPECIAL SERVICE AREA 5,City,1
2006,030210105,CITY OF CHICAGO SPECIAL SERVICE AREA 6,City,1
2006,030210106,CITY OF CHICAGO SPECIAL SERVICE AREA 7,City,1
2006,030210107,CITY OF CHICAGO SPECIAL SERVICE AREA 8,City,1
2006,030210108,CITY OF CHICAGO SPECIAL SERVICE AREA 9,City,1
2006,030210109,CITY OF CHICAGO SPECIAL SERVICE AREA 10,City,1
2006,030210110,CITY OF CHICAGO SPECIAL SERVICE AREA 11,City,1
2006,030210111,CITY OF CHICAGO SPECIAL SERVICE AREA 12,City,1
2006,030210112,CITY OF CHICAGO SPECIAL SERVICE AREA 13,City,1
2006,030210113,CITY OF CHICAGO SPECIAL SERVICE AREA 14,City,1
2006,030210114,CITY OF CHICAGO SPECIAL SERVICE AREA 15,City,1
2006,030210115,CITY OF CHICAGO SPECIAL SERVICE AREA 16,City,1
2006,030210116,CITY OF CHICAGO SPECIAL SERVICE AREA 17,City,1
2006,030210117,CITY OF CHICAGO SPECIAL SERVICE AREA 18,City,1
2006,030210118,CITY OF CHICAGO SPECIAL SERVICE AREA 19,City,1
2006,030210119,CITY OF CHICAGO SPECIAL SERVICE AREA 20,City,1
2006,030210120,CITY OF CHICAGO SPECIAL SERVICE AREA 21,City,1
2006,030210121,CITY OF CHICAGO SPECIAL SERVICE AREA 22,City,1
2006,030210122,CITY OF CHICAGO SPECIAL SERVICE AREA 23,City,1
2006,030210123,CITY OF CHICAGO SPECIAL SERVICE AREA 24,City,1
2006,030210124,CITY OF CHICAGO SPECIAL SERVICE AREA 25,City,1
2006,030210125,CITY OF CHICAGO SPECIAL SERVICE AREA 26,City,1
2006,030210126,CITY OF CHICAGO SPECIAL SERVICE AREA 27,City,1
2006,030210127,CITY OF CHICAGO SPECIAL SERVICE AREA 28,City,1
2006,030210128,CITY OF CHICAGO SPECIAL SERVICE AREA 29,City,1
2006,030210130,CITY OF CHICAGO SPECIAL SERVICE AREA 31,City,1
2006,030210131,CITY OF CHICAGO SPECIAL SERVICE AREA 32,City,1
2006,030210132,CITY OF CHICAGO SPECIAL SERVICE AREA 33,City,1
2006,030210133,CITY OF CHICAGO SPECIAL SERVICE AREA 34,City,1
2006,030210134,CITY OF CHICAGO SPECIAL SERVICE AREA 35,City,1
2006,030210136,CITY OF CHICAGO SPECIAL SERVICE AREA 37,City,1
2006,030210137,CITY OF CHICAGO SPECIAL SERVICE AREA 38,City,1
2006,030210138,CITY OF CHICAGO SPECIAL SERVICE AREA 39,City,1
2006,030210139,CITY OF CHICAGO SPECIAL SERVICE AREA 40,City,1
2006,030210140,CITY OF CHICAGO SPECIAL SERVICE AREA 41,City,1
2006,030210141,CITY OF CHICAGO SPECIAL SERVICE AREA 42,City,1
2006,030210142,CITY OF CHICAGO SPECIAL SERVICE AREA 43,City,1
2006,030220000,CITY OF CHICAGO HEIGHTS,South,0
2006,030220001,CITY OF CHICAGO HEIGHTS LIBRARY FUND,South,0
2006,030230000,VILLAGE OF CHICAGO RIDGE,South,0
2006,030230001,VILLAGE OF CHICAGO RIDGE LIBRARY FUND,South,0
2006,030230100,VILLAGE CHICAGO RIDGE SPECIAL SERVICE AREA 1,South,0
2006,030240000,CITY OF COUNTRY CLUB HILLS,South,0
2006,030250000,CITY OF COUNTRYSIDE,South,0
2006,030250100,CITY OF COUNTRYSIDE SPECIAL SERVICE AREA 1,South,0
2006,030260000,VILLAGE OF CRESTWOOD,South,0
2006,030270000,VILLAGE OF DEER PARK,North,0
2006,030280000,VILLAGE OF DEERFIELD,North,0
2006,030280001,VILLAGE OF DEERFIELD LIBRARY FUND,North,0
2006,030290000,CITY OF DES PLAINES,North,0
2006,030290001,CITY OF DES PLAINES LIBRARY FUND,North,0
2006,030290100,CITY OF DES PLAINES SPECIAL SERVICE AREA 3,North,0
2006,030290101,CITY OF DES PLAINES SPECIAL SERVICE AREA 4,North,0
2006,030290102,CITY OF DESPLAINES SPECIAL SERVICE AREA 5,North,0
2006,030290103,CITY OF DES PLAINES SPECIAL SERVICE AREA 6,North,0
2006,030290104,CITY OF DESPLAINES SPECIAL SERVICE AREA 7,North,0
2006,030300000,VILLAGE OF DIXMOOR,South,0
2006,030300100,VILLAGE OF DIXMOOR SPECIAL SERVICE AREA 1,South,0
2006,030310000,VILLAGE OF DOLTON,South,0
2006,030320000,VILLAGE OF EAST DUNDEE,NA,NA
2006,030330000,VILLAGE OF EAST HAZELCREST,South,0
2006,030340000,CITY OF ELGIN,North,0
2006,030350000,VILLAGE OF ELK GROVE VILLAGE,North,0
2006,030350001,VILLAGE OF ELK GROVE VILLAGE LIBRARY,North,0
2006,030370000,VILLAGE OF ELMWOOD PARK,North,0
2006,030370001,VILLAGE OF ELMWOOD PARK LIBRARY FUND,North,0
2006,030380000,CITY OF EVANSTON,North,0
2006,030380100,CITY OF EVANSTON SPECIAL SERVICE AREA 1,North,0
2006,030380101,CITY OF EVANSTON SPECIAL SERVICE AREA 2,North,0
2006,030380102,CITY OF EVANSTON SPECIAL SERVICE AREA 3,North,0
2006,030380103,CITY OF EVANSTON SPECIAL SERVICE AREA 4,North,0
2006,030380104,CITY OF EVANSTON SPECIAL SERVICE AREA 5,North,0
2006,030390000,VILLAGE OF EVERGREEN PARK,South,0
2006,030390001,VILLAGE OF EVERGREEN PARK LIBRARY FUND,South,0
2006,030390100,VILLAGE OF EVERGREEN PARK SPECIAL SERVICE AREA 1,South,0
2006,030400000,VILLAGE OF FLOSSMOOR,South,0
2006,030400001,VILLAGE OF FLOSSMOOR LIBRARY FUND,South,0
2006,030400100,VILLAGE FLOSSMOOR SPECIAL SERVICE AREA 1,South,0
2006,030400101,VILLAGE OF FLOSSMOOR SPECIAL SERVICE AREA 2,South,0
2006,030410000,VILLAGE OF FORD HEIGHTS,South,0
2006,030420000,VILLAGE OF FOREST PARK,South,0
2006,030420001,VILLAGE OF FOREST PARK LIBRARY FUND,South,0
2006,030430000,VILLAGE OF FORESTVIEW,South,0
2006,030430100,VILLAGE OF FOREST VIEW SPECIAL SERVICE AREA 1,South,0
2006,030440000,VILLAGE OF FRANKFORT,South,0
2006,030450000,VILLAGE OF FRANKLIN PARK,North,0
2006,030450101,VILLAGE OF FRANKLIN PK SPECIAL SERVICE AREA 3,North,0
2006,030450102,VILLAGE OF FRANKLIN PK SPECIAL SERVICE AREA 4,North,0
2006,030450103,VILLAGE OF FRANKLIN PK SPECIAL SERVICE AREA 5,North,0
2006,030460000,VILLAGE OF GLENCOE,North,0
